energy_code,climate_zone,surface_type,assembly_type,construction_name,ip name,si name,r value ip,r value si,is_duplicate,ip match,si match
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 R-16 |Wood Framed Wall CZ1 R-2.9,Wood Framed Wall CZ1 R-16 ,Wood Framed Wall CZ1 R-2.9,16,2.9,false,true,true
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 R-21 |Wood Framed Wall CZ1 R-3.7,Wood Framed Wall CZ1 R-21 ,Wood Framed Wall CZ1 R-3.7,21,3.7,false,true,true
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 R-26 |Wood Framed Wall CZ1 R-4.6,Wood Framed Wall CZ1 R-26 ,Wood Framed Wall CZ1 R-4.6,26,4.6,false,true,true
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 R-31 |Wood Framed Wall CZ1 R-5.5,Wood Framed Wall CZ1 R-31 ,Wood Framed Wall CZ1 R-5.5,31,5.5,false,true,true
ASHRAE_90_1_2007,1,Foundation,"",Typical Insulated Slab CZ1 R-3 |Typical Insulated Slab CZ1 R-0.5,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Typical Mtl Framed CZ1 U-1.2 SHGC-0.25 VT-0.28 |Typical Mtl Framed CZ1 U-10.0 SHGC-0.25 VT-0.28,Typical Mtl Framed CZ1 U-1.2 SHGC-0.25 VT-0.28 ,Typical Mtl Framed CZ1 U-10.0 SHGC-0.25 VT-0.28,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 U-0.96 SHGC-0.23 VT-0.25 |Mtl Framed CZ1 U-5.0 SHGC-0.23 VT-0.25,Mtl Framed CZ1 U-0.96 SHGC-0.23 VT-0.25 ,Mtl Framed CZ1 U-5.0 SHGC-0.23 VT-0.25,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 U-0.84 SHGC-0.2 VT-0.22 |Mtl Framed CZ1 U-5.0 SHGC-0.2 VT-0.22,Mtl Framed CZ1 U-0.84 SHGC-0.2 VT-0.22 ,Mtl Framed CZ1 U-5.0 SHGC-0.2 VT-0.22,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 U-0.72 SHGC-0.18 VT-0.2 |Mtl Framed CZ1 U-5.0 SHGC-0.18 VT-0.2,Mtl Framed CZ1 U-0.72 SHGC-0.18 VT-0.2 ,Mtl Framed CZ1 U-5.0 SHGC-0.18 VT-0.2,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 U-0.6 SHGC-0.15 VT-0.17 |Mtl Framed CZ1 U-3.33 SHGC-0.15 VT-0.17,Mtl Framed CZ1 U-0.6 SHGC-0.15 VT-0.17 ,Mtl Framed CZ1 U-3.33 SHGC-0.15 VT-0.17,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Typical Mtl Framed CW CZ1 U-1.2 SHGC-0.25 VT-0.28 |Typical Mtl Framed CW CZ1 U-10.0 SHGC-0.25 VT-0.28,Typical Mtl Framed CW CZ1 U-1.2 SHGC-0.25 VT-0.28 ,Typical Mtl Framed CW CZ1 U-10.0 SHGC-0.25 VT-0.28,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 U-0.96 SHGC-0.23 VT-0.25 |Mtl Framed CW CZ1 U-5.0 SHGC-0.23 VT-0.25,Mtl Framed CW CZ1 U-0.96 SHGC-0.23 VT-0.25 ,Mtl Framed CW CZ1 U-5.0 SHGC-0.23 VT-0.25,NaN,NaN,false
